Chỉ_tiêu	Đơn_vị_tính	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
#Thu nhập bình_quân
GDP_bình_quân_(VND)	Nghìn_đồng	536	1041	1515	1931	2442	3105	3648	4154	4721	5161	5627	6061	6675	7568	8736	11058	12713	14704	18886	20931	24722	31547	36459	39854	43302	45600	48500	53300	58400	62500	64390	86000	95900	101800
GDP_bình_quân_(USD)	USD	-2	14	44	89	130	188	237	261	261	274	302	315	340	389	453	537	624	730	1065	1132	1234	1443	1655	1811	1952	2009	2115	2289	2490	2615	2679	3617	4024	4182
#Tăng_trưởng_thực_của_GDP
Tổng_GDP	%	5.1	5.8	8.7	8.1	8.8	9.5	9.3	8.2	5.8	4.8	6.8	6.9	7.1	7.3	7.8	8.4	8.2	8.48	6.18	5.32	6.78	5.89	5.03	5.42	5.98	6.68	6.21	6.81	7.08	7.02	2.91	2.56	8.12	5.05
Nông_nghiệp	%	1	2.2	6.9	3.3	3.4	4.8	4.4	4.3	3.5	5.2	4.6	3	4.2	3.6	4.4	4	3.7	3.4	4.07	1.82	2.78	4.01	2.68	2.64	3.49	2.41	1.36	2.9	3.76	2.01	2.68	3.27	3.48	3.83
Công_nghiệp	%	2.3	7.7	12.8	12.6	13.4	13.6	14.5	12.6	8.3	7.7	10.1	10.4	9.5	10.5	10.2	10.7	10.4	10.6	6.11	5.52	7.7	5.53	5.75	5.43	7.14	9.64	7.57	8	8.85	8.9	3.98	3.58	7.87	3.74
Dịch_vụ	%	10.2	7.4	7.6	8.6	9.6	9.8	8.8	7.1	5.1	2.3	5.3	6.1	6.5	6.5	7.3	8.5	8.3	6.68	7.18	6.63	7.52	6.99	5.9	6.57	5.96	6.33	6.98	7.44	7.03	7.3	2.34	1.57	10.11	6.82
#Cơ_cấu_GDP_theo_giá_hiện_tại
Nông_nghiệp	%	38.7	40.5	33.9	29.9	27.4	27.2	27.8	25.8	25.8	25.4	24.5	23.2	23	22.54	21.81	21.02	20.4	20.3	22.1	20.91	20.58	22.01	19.67	18.38	17.7	17	16.32	15.34	14.57	13.96	14.85	12.56	11.96	11.96
Công_nghiệp	%	22.7	23.8	27.3	28.9	28.9	28.8	29.7	32.1	32.5	34.5	36.7	38.1	38.5	39.46	40.21	40.97	41.5	41.58	39.73	40.24	41.09	40.23	38.63	38.31	33.21	33.25	32.72	33.34	34.28	34.49	33.72	37.47	38.17	37.12
Dịch_vụ	%	38.6	35.7	38.8	41.2	43.7	44.1	42.5	42.2	41.7	40.1	38.7	38.6	38.5	38	37.89	38.01	38.1	38.12	38.17	38.85	38.33	37.76	41.7	43.31	39.04	39.73	40.92	41.32	41.17	41.64	41.63	41.21	41.32	42.54
#Giá_trị_GDP
GDP_theo_giá_hiện_hành	Tỷ_VNĐ	41955	76707	110532	140258	178534	228892	272036	313623	361017	399942	441646	481295	535762	613443	715307	839211	1061565	1144014	1477717	1658389	1980914	2536631	3245419	3584262	3937856	4192862	4502733	5005975	5542332	6037348	6293145	8479667	9548738	10221815
