Date,Close,Open,High,Low,Volume,Change%
2024-11-07,489.98,487.54,494.4,487.54,23670,-0.26
2024-11-06,491.27,477.0,491.74,477.0,28620,1.91
2024-11-05,482.05,481.58,483.84,481.14,14180,0.02
2024-11-04,481.96,484.1,484.49,478.4,21180,-0.51
2024-11-01,484.43,487.28,487.47,481.56,19550,-0.6
2024-10-31,487.33,486.58,487.81,480.9,19740,0.25
2024-10-30,486.1,483.1,488.31,480.62,20400,0.31
2024-10-29,484.6,482.9,487.32,481.48,19850,0.35
2024-10-28,482.9,479.87,484.31,474.8,22040,0.04
2024-10-25,482.71,481.13,484.57,480.41,23580,0.27
2024-10-24,481.39,484.39,490.05,477.85,22860,-1.43
2024-10-23,488.36,485.89,489.36,484.34,24030,0.24
2024-10-22,487.21,492.2,493.62,483.79,35280,-1.17
2024-10-21,492.99,495.14,498.51,489.94,26470,-1.07
2024-10-18,498.32,493.84,503.25,487.75,19410,-0.52
2024-10-17,500.93,488.12,500.93,486.63,35540,1.36
2024-10-16,494.21,495.17,497.75,491.67,19430,-0.3
2024-10-15,495.7,501.66,503.26,494.59,34420,-1.19
2024-10-14,501.66,502.57,506.92,501.03,23790,-0.29
2024-10-11,503.14,503.26,504.88,501.17,21620,-0.02
2024-10-10,503.26,502.87,508.5,495.28,26090,-0.45
2024-10-09,505.56,504.04,506.66,501.72,29270,0.3
2024-10-08,504.04,504.48,510.48,496.47,46660,-0.82
2024-10-07,508.21,500.6,511.35,499.28,28640,0.24
2024-10-04,507.0,509.66,511.05,506.93,31810,-0.51
2024-10-03,509.62,513.58,515.79,505.32,45880,-0.77
2024-10-02,513.58,515.37,516.66,510.97,35860,-0.45
2024-10-01,515.9,512.95,521.37,512.15,52420,0.47
2024-09-30,513.48,515.63,516.81,512.12,32870,-0.42
2024-09-27,515.63,518.53,521.4,514.61,42190,-0.56
2024-09-26,518.53,517.24,521.6,511.56,34520,-0.05
2024-09-25,518.8,506.66,521.8,502.93,48940,0.98
2024-09-24,513.76,510.24,513.76,508.01,22740,0.78
2024-09-23,509.76,512.3,514.09,507.85,23530,-0.59
2024-09-20,512.78,510.33,516.69,509.39,37520,0.57
2024-09-19,509.85,498.97,509.94,491.88,26850,0.66
2024-09-18,506.51,503.95,510.02,494.12,32030,0.41
2024-09-17,504.42,492.86,504.89,490.08,26370,1.27
2024-09-16,498.07,498.93,505.01,494.31,21630,-1.2
2024-09-13,504.13,498.71,505.02,489.15,21950,0.29
2024-09-12,502.68,500.6,506.4,493.35,19060,0.13
2024-09-11,502.02,501.76,503.73,496.22,24920,-0.02
2024-09-10,502.14,503.87,511.49,496.78,37200,-1.12
2024-09-09,507.85,511.2,512.29,504.63,39840,-0.79
2024-09-06,511.9,512.42,513.55,502.07,27770,-0.36
2024-09-05,513.75,516.79,520.83,509.85,27930,-0.84
2024-09-04,518.11,523.0,523.0,514.1,33730,-0.93
2024-08-30,523.0,522.11,525.01,519.99,34420,-0.13
2024-08-29,523.7,523.52,526.36,509.63,17820,-0.22
2024-08-28,524.85,520.31,527.88,517.05,36360,-0.32
2024-08-27,526.56,522.13,527.91,513.24,25880,0.04
2024-08-26,526.37,532.47,537.54,526.37,34920,-0.97
2024-08-23,531.52,534.68,534.68,520.39,39030,0.84
2024-08-22,527.11,523.59,529.51,516.02,35160,-0.14
2024-08-21,527.83,520.14,527.83,520.01,41770,0.71
2024-08-20,524.11,518.75,526.54,510.18,46270,0.88
2024-08-19,519.55,516.13,522.49,510.93,35600,0.43
2024-08-16,517.3,487.6,517.75,485.36,64620,4.82
2024-08-15,493.53,498.88,499.32,490.78,20150,-1.07
2024-08-14,498.88,495.51,503.96,491.82,28350,-0.27
2024-08-13,500.25,500.22,502.98,494.57,29800,-0.21
2024-08-12,501.28,489.1,501.28,489.1,27720,1.31
2024-08-09,494.8,485.52,494.87,484.42,36310,1.74
2024-08-08,486.32,482.52,494.22,480.84,37260,-0.49
2024-08-07,488.7,484.07,488.79,480.43,24740,0.5
2024-08-06,486.26,474.2,486.96,469.32,38180,2.54
2024-08-05,474.2,499.99,499.99,467.88,55480,-5.16
2024-08-02,499.99,490.89,500.54,482.7,35930,1.46
2024-08-01,492.79,512.27,515.18,488.57,67790,-3.92
2024-07-31,512.9,514.66,518.79,510.16,28720,-0.38
2024-07-30,514.87,518.85,521.52,510.73,29480,-0.98
2024-07-29,519.94,517.65,523.77,517.55,28020,0.44
2024-07-26,517.65,510.35,518.05,509.05,19930,0.78
2024-07-25,513.63,516.08,516.08,507.59,23000,-0.42
2024-07-24,515.81,510.67,516.31,500.98,40440,0.83
2024-07-23,511.57,522.84,525.44,511.08,33910,-2.35
2024-07-22,523.88,530.36,531.05,515.3,55060,-1.26
2024-07-19,530.58,535.34,536.64,527.72,14330,-0.89
2024-07-18,535.34,528.94,535.34,522.67,30160,1.21
2024-07-17,528.94,541.18,546.27,520.07,60830,-2.26
2024-07-16,541.18,538.84,547.48,527.12,34280,-0.19
2024-07-15,542.23,537.61,544.88,533.34,34070,0.18
2024-07-12,541.26,543.38,545.4,538.52,27710,-0.31
2024-07-11,542.93,532.27,547.43,532.27,46880,0.56
2024-07-10,539.89,538.13,545.68,537.23,35660,-0.67
2024-07-09,543.51,534.53,544.04,533.75,46940,1.58
2024-07-08,535.05,531.13,536.6,531.13,39020,0.64
2024-07-05,531.65,530.37,531.65,525.1,36740,0.36
2024-07-04,529.72,528.52,532.38,526.59,28560,0.22
2024-07-03,528.56,525.59,530.07,513.22,29710,0.33
2024-07-02,526.83,517.85,527.22,516.67,23170,1.43
2024-07-01,519.42,514.67,519.89,508.82,28580,0.72
2024-06-28,515.71,516.11,524.67,512.94,42650,-1.53
2024-06-27,523.74,518.06,523.91,513.89,30980,0.49
2024-06-26,521.19,520.34,524.35,513.42,30710,-0.48
2024-06-25,523.71,518.45,523.71,508.35,26920,0.66
2024-06-24,520.27,530.01,539.33,514.42,76620,-3.12
2024-06-21,537.05,538.07,541.22,535.69,35790,-0.26
2024-06-20,538.46,539.02,543.14,532.98,42430,-0.25
2024-06-19,539.81,541.67,543.93,536.43,36890,-0.39
2024-06-18,541.9,531.18,543.55,531.18,31260,0.68
2024-06-17,538.22,540.46,545.64,536.47,45610,-0.43
2024-06-14,540.53,555.99,559.28,540.53,65730,-2.78
2024-06-13,555.98,547.26,558.46,546.99,48570,0.24
2024-06-12,554.65,543.83,554.65,542.21,49710,1.12
2024-06-11,548.52,545.72,550.49,540.98,59210,0.51
2024-06-10,545.72,538.8,548.87,537.3,53410,0.44
2024-06-07,543.32,540.72,545.89,540.72,35990,0.48
2024-06-06,540.72,539.47,545.69,537.67,36300,-0.16
2024-06-05,541.59,541.72,547.51,540.93,52070,-0.03
2024-06-04,541.76,542.24,546.21,540.7,44890,-0.14
2024-06-03,542.5,536.01,543.25,536.01,51660,1.01
2024-05-31,537.07,538.67,540.82,534.45,38550,-0.4
2024-05-30,539.2,536.88,541.09,521.29,83370,0.14
2024-05-29,538.47,542.08,546.77,536.09,49700,-0.88
2024-05-28,543.25,536.05,544.18,529.71,47840,1.34
2024-05-27,536.05,527.09,537.19,527.09,37680,0.36
2024-05-24,534.13,551.66,553.37,524.35,98090,-3.26
2024-05-23,552.15,544.94,552.15,541.04,66810,1.43
2024-05-22,544.36,528.77,546.16,528.19,89080,1.52
2024-05-21,536.21,528.58,536.21,517.68,69170,0.49
2024-05-20,533.62,533.84,540.55,532.84,59550,0.11
2024-05-17,533.02,530.15,533.64,529.43,60060,0.54
2024-05-16,530.15,524.78,531.94,524.78,72290,1.1
2024-05-15,524.4,518.0,527.13,517.38,77220,1.24
2024-05-14,518.0,516.36,520.56,515.17,44140,0.32
2024-05-13,516.36,515.06,518.69,510.71,49710,0.25
2024-05-10,515.06,510.93,515.4,504.58,55330,0.96
2024-05-09,510.15,510.55,516.96,508.53,49850,-0.07
2024-05-08,510.49,497.32,512.67,497.3,77450,0.98
2024-05-07,505.54,503.88,505.94,500.5,39670,0.33
2024-05-06,503.88,490.71,504.19,490.71,60380,2.68
2024-05-03,490.71,487.89,494.1,487.23,37290,0.51
2024-05-02,488.22,485.66,488.63,482.44,32020,0.47
2024-04-26,485.92,485.82,489.64,481.98,43210,-0.38
2024-04-25,487.77,489.6,489.6,481.74,39070,-0.3
2024-04-24,489.22,469.27,490.97,458.18,59600,3.75
2024-04-23,471.55,476.34,481.89,464.43,48920,-2.01
2024-04-22,481.21,469.79,484.66,467.88,56510,2.96
2024-04-19,467.39,478.98,485.18,462.03,102460,-3.61
2024-04-17,484.87,496.19,499.23,484.82,56980,-2.28
2024-04-16,496.19,494.92,497.78,480.09,100090,0.26
2024-04-15,494.92,537.55,541.11,494.92,126520,-7.92
2024-04-12,537.51,528.98,537.51,527.13,56350,1.61
2024-04-11,528.98,524.01,530.33,519.25,56380,0.53
2024-04-10,526.18,533.53,536.44,526.05,40460,-1.45
2024-04-09,533.93,523.49,533.93,523.09,51120,1.81
2024-04-08,524.45,529.22,532.46,524.45,55730,-1.13
2024-04-05,530.46,538.74,542.8,530.46,92620,-1.61
2024-04-04,539.14,542.27,546.27,536.69,71320,-0.94
2024-04-03,544.26,550.97,556.34,542.63,96670,-1.15
2024-04-02,550.57,532.59,550.57,530.34,95660,2.78
2024-04-01,535.69,533.51,538.71,528.85,72220,0.35
2024-03-29,533.82,538.48,540.87,533.82,56480,-0.83
2024-03-28,538.3,535.6,541.83,534.86,62050,0.49
2024-03-27,535.69,532.96,539.89,532.05,60510,0.53
2024-03-26,532.84,527.67,532.84,513.82,58330,0.75
2024-03-25,528.87,531.76,540.63,525.67,103210,-0.54
2024-03-22,531.76,530.15,538.39,527.97,88190,0.38
2024-03-21,529.77,516.05,530.09,515.97,135990,2.15
2024-03-20,518.63,513.53,518.84,509.65,57840,0.99
2024-03-19,513.53,516.01,521.78,511.45,62110,-0.26
2024-03-18,514.87,521.64,530.23,500.79,139900,-1.45
2024-03-15,522.44,522.73,528.24,518.17,80940,-0.06
2024-03-14,522.73,515.24,527.4,515.24,126880,1.22
2024-03-13,516.44,499.83,516.61,492.86,77620,2.56
2024-03-12,503.55,502.39,506.64,500.2,55870,0.23
2024-03-11,502.39,509.38,512.61,499.91,67510,-1.46
2024-03-08,509.84,514.96,518.32,507.72,87330,-0.88
2024-03-07,514.39,500.5,515.79,499.88,113540,1.4
2024-03-06,507.29,510.54,515.67,501.99,77270,-1.08
2024-03-05,512.83,506.63,513.91,501.43,57250,0.15
2024-03-04,512.07,510.91,519.03,507.38,75900,0.41
2024-03-01,509.98,505.71,511.24,505.57,81730,0.92
2024-02-29,505.31,504.56,507.78,499.42,72830,0.27
2024-02-28,503.94,502.26,507.83,497.4,64730,0.11
2024-02-27,503.41,494.09,503.49,491.44,64950,1.89
2024-02-26,494.09,487.89,494.09,485.33,55550,1.19
2024-02-23,488.28,497.15,500.63,487.08,78140,-2.01
2024-02-22,498.3,493.8,503.04,485.74,45480,-0.19
2024-02-21,499.25,500.11,502.46,496.41,40080,-0.17
2024-02-20,500.11,493.16,502.73,485.44,66400,0.35
2024-02-19,498.35,497.33,500.56,493.71,54400,0.14
2024-02-16,497.64,495.33,501.69,485.16,45130,0.36
2024-02-15,495.87,495.65,498.02,492.53,43780,0.59
2024-02-07,492.96,492.01,495.79,491.38,46920,0.08
2024-02-06,492.59,484.85,495.95,484.66,72170,0.11
2024-02-05,492.04,493.86,495.1,490.89,53820,-0.24
