"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"17/06/2014","21,220.0","21,200.0","21,246.0","21,180.0","","0.02%"
"16/06/2014","21,215.0","21,180.0","21,250.0","21,110.0","","-0.04%"
"13/06/2014","21,222.5","21,205.0","21,247.5","21,110.0","","0.01%"
"12/06/2014","21,220.0","21,195.0","21,245.0","21,110.0","","0.00%"
"11/06/2014","21,220.5","21,190.0","21,225.5","21,170.0","","0.04%"
"10/06/2014","21,212.5","21,195.0","21,227.5","21,175.0","","-0.01%"
"09/06/2014","21,215.0","21,160.0","21,225.0","21,150.0","","0.14%"
"06/06/2014","21,185.0","21,180.0","21,225.0","21,110.0","","-0.09%"
"05/06/2014","21,205.0","21,160.0","21,225.0","21,160.0","","0.02%"
"04/06/2014","21,200.0","21,205.0","21,250.0","21,110.0","","-0.07%"
"03/06/2014","21,215.0","21,160.0","21,220.0","21,145.0","","0.19%"
"02/06/2014","21,175.0","21,130.0","21,175.0","21,080.0","","0.08%"
"30/05/2014","21,157.5","21,145.0","21,167.5","21,125.0","","-0.04%"
"29/05/2014","21,165.0","21,140.0","21,175.0","21,080.0","","0.00%"
"28/05/2014","21,165.0","21,120.0","21,165.0","21,110.0","","0.09%"
"27/05/2014","21,145.0","21,120.0","21,145.0","21,080.0","","0.00%"
"26/05/2014","21,145.0","21,120.0","21,169.0","21,110.0","","-0.01%"
"23/05/2014","21,147.5","21,115.0","21,147.5","21,100.0","","0.06%"
"22/05/2014","21,135.0","21,130.0","21,155.0","21,110.0","","-0.09%"
"21/05/2014","21,155.0","21,130.0","21,165.0","21,110.0","","0.00%"
"20/05/2014","21,155.0","21,110.0","21,165.0","21,095.0","","0.11%"
"19/05/2014","21,132.5","21,135.0","21,162.5","21,060.0","","-0.15%"
"16/05/2014","21,165.0","21,100.0","21,165.0","21,080.0","","0.20%"
"15/05/2014","21,122.5","21,085.0","21,122.5","21,070.0","","0.07%"
"14/05/2014","21,107.5","21,070.0","21,107.5","21,070.0","","0.05%"
"13/05/2014","21,097.5","21,075.0","21,112.5","21,070.0","","0.00%"
"12/05/2014","21,097.5","21,075.0","21,112.5","21,070.0","","-0.01%"
"09/05/2014","21,100.0","21,075.0","21,110.0","21,070.0","","-0.01%"
"08/05/2014","21,102.5","21,070.0","21,117.5","21,070.0","","0.05%"
"07/05/2014","21,092.5","21,070.0","21,102.5","21,070.0","","-0.09%"
"06/05/2014","21,112.5","21,070.0","21,127.5","21,070.0","","0.09%"
"05/05/2014","21,092.5","21,070.0","21,112.5","21,065.0","","0.05%"
"02/05/2014","21,082.5","21,060.0","21,082.5","21,060.0","","0.00%"
"01/05/2014","21,082.5","21,060.0","21,082.5","21,060.0","","0.00%"
"30/04/2014","21,082.5","21,060.0","21,082.5","21,060.0","","0.00%"
"29/04/2014","21,082.5","21,070.0","21,116.5","21,060.0","","-0.05%"
"28/04/2014","21,092.5","21,090.0","21,132.5","21,070.0","","-0.04%"
"25/04/2014","21,100.0","21,080.0","21,110.0","21,070.0","","-0.04%"
"24/04/2014","21,107.5","21,085.0","21,112.5","21,070.0","","-0.02%"
"23/04/2014","21,112.5","21,080.0","21,117.5","21,070.0","","0.07%"
"22/04/2014","21,097.5","21,075.0","21,112.5","21,070.0","","0.00%"
"21/04/2014","21,097.5","21,080.0","21,152.5","21,070.0","","0.00%"
"18/04/2014","21,097.5","21,075.0","21,120.5","21,070.0","","0.00%"
"17/04/2014","21,097.5","21,075.0","21,172.5","21,070.0","","0.00%"
"16/04/2014","21,097.5","21,075.0","21,112.5","21,070.0","","0.00%"
"15/04/2014","21,096.5","21,075.0","21,096.5","21,070.0","","0.00%"
"14/04/2014","21,097.5","21,070.0","21,117.0","21,070.0","","0.00%"
"11/04/2014","21,097.2","21,075.0","21,097.2","21,070.0","","0.01%"
"10/04/2014","21,095.0","21,075.0","21,110.0","21,070.0","","0.00%"
"09/04/2014","21,095.0","21,075.0","21,095.0","21,075.0","","0.00%"
"08/04/2014","21,095.0","21,075.0","21,110.0","21,070.0","","0.00%"
"07/04/2014","21,095.0","21,070.0","21,110.0","21,070.0","","0.01%"
"04/04/2014","21,092.5","21,070.0","21,107.5","21,070.0","","0.00%"
"03/04/2014","21,092.5","21,075.0","21,112.5","21,070.0","","-0.01%"
"02/04/2014","21,095.0","21,075.0","21,110.0","21,070.0","","-0.01%"
"01/04/2014","21,097.5","21,075.0","21,112.5","21,060.0","","0.00%"
"31/03/2014","21,097.5","21,085.0","21,117.5","21,060.0","","-0.05%"
"28/03/2014","21,107.5","21,080.0","21,107.5","21,070.0","","0.02%"
"27/03/2014","21,102.5","21,075.0","21,112.5","21,065.0","","0.02%"
