"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"08/11/2024","25,260.0","25,295.0","25,310.0","25,260.0","","-0.36%"
"07/11/2024","25,350.0","25,400.0","25,410.0","25,350.0","","-0.08%"
"06/11/2024","25,370.0","25,365.0","25,410.0","25,350.0","","0.16%"
"05/11/2024","25,330.0","25,310.0","25,360.0","25,285.0","","0.08%"
"04/11/2024","25,310.0","25,260.0","25,325.0","25,250.0","","0.12%"
"01/11/2024","25,280.0","25,265.0","25,330.0","25,250.0","","0.04%"
"31/10/2024","25,270.0","25,325.0","25,345.0","25,260.0","","-0.04%"
"30/10/2024","25,280.0","25,335.0","25,400.0","25,280.0","","-0.06%"
"29/10/2024","25,295.0","25,345.0","25,345.0","25,270.0","","-0.20%"
"28/10/2024","25,345.0","25,390.0","25,430.0","25,340.0","","-0.04%"
"25/10/2024","25,355.0","25,400.0","25,425.0","25,355.0","","-0.12%"
"24/10/2024","25,385.0","25,391.0","25,440.0","25,380.0","","-0.06%"
"23/10/2024","25,400.0","25,400.0","25,420.0","25,370.0","","0.04%"
"22/10/2024","25,390.0","25,375.0","25,390.0","25,345.0","","0.42%"
"21/10/2024","25,285.0","25,150.0","25,285.0","25,150.0","","0.54%"
"18/10/2024","25,150.0","25,210.0","25,260.0","25,150.0","","-0.12%"
"17/10/2024","25,180.0","25,010.0","25,195.0","25,010.0","","0.84%"
"16/10/2024","24,970.0","24,960.0","25,000.0","24,890.0","","0.18%"
"15/10/2024","24,925.0","24,850.0","24,948.0","24,830.0","","0.34%"
"14/10/2024","24,840.0","24,814.0","24,845.0","24,800.0","","0.14%"
"11/10/2024","24,805.0","24,830.0","24,851.0","24,800.0","","-0.10%"
"10/10/2024","24,830.0","24,855.0","24,855.0","24,820.0","","0.00%"
"09/10/2024","24,830.0","24,825.0","24,840.0","24,815.0","","-0.02%"
"08/10/2024","24,835.0","24,830.0","24,850.0","24,825.0","","-0.02%"
"07/10/2024","24,840.0","24,840.0","24,850.0","24,830.0","","0.34%"
"04/10/2024","24,755.0","24,755.0","24,760.0","24,715.0","","0.04%"
"03/10/2024","24,745.0","24,690.0","24,750.0","24,635.0","","0.38%"
"02/10/2024","24,652.0","24,615.0","24,660.0","24,589.0","","0.23%"
"01/10/2024","24,595.0","24,560.0","24,605.0","24,550.0","","0.16%"
"30/09/2024","24,555.0","24,565.0","24,610.0","24,540.0","","-0.14%"
"27/09/2024","24,590.0","24,605.0","24,625.0","24,580.0","","-0.10%"
"26/09/2024","24,615.0","24,610.0","24,635.0","24,550.0","","0.14%"
"25/09/2024","24,580.0","24,530.0","24,585.0","24,530.0","","-0.04%"
"24/09/2024","24,590.0","24,640.0","24,640.0","24,580.0","","-0.10%"
"23/09/2024","24,615.0","24,615.0","24,650.0","24,529.0","","0.10%"
"20/09/2024","24,590.0","24,550.0","24,600.0","24,520.0","","0.10%"
"19/09/2024","24,565.0","24,620.0","24,660.0","24,560.0","","-0.14%"
"18/09/2024","24,600.0","24,650.0","24,680.0","24,600.0","","-0.08%"
"17/09/2024","24,620.0","24,577.0","24,620.0","24,545.0","","0.37%"
"16/09/2024","24,530.0","24,540.0","24,613.0","24,530.0","","0.00%"
"13/09/2024","24,530.0","24,580.0","24,580.0","24,515.0","","-0.18%"
"12/09/2024","24,575.0","24,580.0","24,600.0","24,515.0","","0.10%"
"11/09/2024","24,550.0","24,640.0","24,640.0","24,530.0","","-0.45%"
"10/09/2024","24,660.0","24,690.0","24,690.0","24,615.0","","-0.08%"
"09/09/2024","24,680.0","24,620.0","24,680.0","24,600.0","","0.33%"
"06/09/2024","24,600.0","24,660.0","24,660.0","24,570.0","","-0.53%"
"05/09/2024","24,730.0","24,820.0","24,820.0","24,720.0","","-0.49%"
"04/09/2024","24,852.0","24,870.0","24,885.0","24,840.0","","-0.03%"
"03/09/2024","24,860.0","24,860.0","24,860.0","24,860.0","","0.00%"
"02/09/2024","24,860.0","24,860.0","24,860.0","24,860.0","","0.00%"
"30/08/2024","24,860.0","24,885.0","24,890.0","24,860.0","","-0.04%"
"29/08/2024","24,870.0","24,885.0","24,895.0","24,820.0","","0.06%"
"28/08/2024","24,855.0","24,815.0","24,885.0","24,813.0","","0.14%"
"27/08/2024","24,820.0","24,840.0","24,840.0","24,800.0","","-0.16%"
"26/08/2024","24,860.0","24,880.0","24,905.0","24,840.0","","-0.42%"
"23/08/2024","24,965.0","24,930.0","25,010.0","24,930.0","","0.02%"
"22/08/2024","24,960.0","24,925.0","24,965.0","24,900.0","","0.12%"
"21/08/2024","24,930.0","24,905.0","24,935.0","24,895.0","","0.06%"
"20/08/2024","24,915.0","24,900.0","24,927.0","24,910.0","","-0.18%"
"19/08/2024","24,960.0","25,064.0","25,064.0","24,960.0","","-0.36%"
"16/08/2024","25,050.0","25,060.0","25,084.0","25,030.0","","0.06%"
"15/08/2024","25,035.0","25,030.0","25,090.0","25,025.0","","0.06%"
"14/08/2024","25,020.0","25,081.0","25,120.0","25,020.0","","-0.38%"
"13/08/2024","25,115.0","25,120.0","25,125.0","25,080.0","","-0.02%"
