Năm,Dân số (Triệu người),Mật độ dân số (người/km2),Tốc độ tăng dân số (%),Tỷ lệ dân thành thị (%),Số lượng lao động (Triệu người),Tỷ giá cuối kỳ (VND/USD),Tổng FDI giải ngân (Triệu USD),Tong FDI đăng ký (Triệu USD),Giá trị xuất khẩu (USD giá hiện hành) (Triệu USD),Giá trị nhập khẩu (USD giá hiện hành) (Triệu USD),CPI tháng 1 (%),CPI tháng 2 (%),CPI tháng 3 (%),CPI tháng 4 (%),CPI tháng 5 (%),CPI tháng 6 (%),CPI tháng 7 (%),CPI tháng 8 (%),CPI tháng 9 (%),CPI tháng 10 (%),CPI tháng 11 (%),CPI tháng 12 (%),Bình quân CPI tháng (%),CPI tháng 12 năm báo cáo so với tháng 12 năm trước (%),GDP bình quân (Nghìn VND),GDP bình quân (USD),Tổng GDP (%),Nông nghiệp (%),Công nghiệp (%),Dịch vụ (%),GDP theo giá hiện hành (Tỷ VND)
1990.0,66.02,200.0,1.9,19.51,29.4,8.125,0.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,-2.0,5.1,38.7,22.7,38.6,41955.0
1991.0,67.24,204.0,1.9,19.67,30.1,11.5,328.8,1291.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,14.0,5.8,40.5,23.8,35.7,76707.0
1992.0,68.45,208.0,1.8,19.85,30.9,10.565,574.9,2208.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.0,44.0,8.7,33.9,27.3,38.8,110532.0
1993.0,69.04,209.0,1.8,20.05,31.6,10.843,1017.5,3037.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931.0,89.0,8.1,29.9,28.9,41.2,140258.0
1994.0,70.23,213.0,1.7,20.37,32.3,11.051,2040.6,4188.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2442.0,130.0,8.8,27.4,28.9,43.7,178534.0
1995.0,71.41,217.0,1.7,20.75,33.0,11.015,2556.0,6937.2,5449.0,8155.4,3.8,3.4,0.2,1.0,1.8,0.8,0.0,0.3,0.5,0.1,0.1,0.3,1.0,12.7,3105.0,188.0,9.5,27.2,28.8,44.1,228892.0
1996.0,72.57,220.0,1.6,21.08,33.8,11.149,2714.0,10164.1,7255.9,11143.6,0.9,2.5,0.8,0.1,-0.5,-0.5,-0.7,-0.4,0.3,0.1,0.9,1.0,0.4,4.5,3648.0,237.0,9.3,27.8,29.7,42.5,272036.0
1997.0,73.73,224.0,1.6,22.66,34.5,12.292,3115.0,5590.7,9185.0,11592.3,0.8,1.8,-0.5,-0.6,-0.5,0.1,0.2,0.1,0.6,0.3,0.3,1.0,0.3,3.6,4154.0,261.0,8.2,25.8,32.1,42.2,313623.0
1998.0,74.88,227.0,1.6,23.15,35.2,13.89,2367.4,5099.9,9360.3,11499.6,1.6,2.2,-0.8,1.6,1.4,0.0,-0.5,1.1,1.0,0.3,0.1,0.8,0.7,9.2,4721.0,261.0,5.8,25.8,32.5,41.7,361017.0
1999.0,76.02,231.0,1.5,23.61,36.0,14.028,2334.9,2565.4,11541.4,11742.1,1.7,1.9,-0.7,-0.6,-0.4,-0.3,-0.4,-0.4,-0.6,-1.0,0.4,0.5,0.0,0.1,5161.0,274.0,4.8,25.4,34.5,40.1,399942.0
