Date,Close,Open,High,Low,Volume,Change%
2024-11-08,1303.59,1315.39,1315.49,1299.39,389210000,-0.58
2024-11-07,1311.22,1318.57,1319.84,1310.41,352910000,-0.13
2024-11-06,1312.88,1296.36,1313.4,1296.36,384130000,1.32
2024-11-05,1295.76,1294.58,1299.96,1294.49,259750000,0.1
2024-11-04,1294.46,1306.97,1308.59,1292.04,455760000,-0.94
2024-11-01,1306.72,1314.96,1317.4,1305.91,424260000,-0.98
2024-10-31,1319.6,1316.47,1321.57,1310.73,340430000,0.3
2024-10-30,1315.62,1319.08,1320.46,1309.7,352440000,-0.12
2024-10-29,1317.2,1309.95,1317.55,1309.95,363930000,0.58
2024-10-28,1309.56,1307.03,1309.63,1304.92,310590000,0.23
2024-10-25,1306.53,1314.37,1314.99,1304.46,412810000,-0.31
2024-10-24,1310.55,1327.9,1330.92,1310.55,468370000,-1.29
2024-10-23,1327.65,1325.54,1329.05,1317.67,424290000,0.21
2024-10-22,1324.86,1333.09,1335.67,1319.82,569640000,-0.64
2024-10-21,1333.41,1336.9,1341.71,1333.41,447790000,-0.36
2024-10-18,1338.25,1344.4,1347.43,1337.33,477660000,-0.09
2024-10-17,1339.42,1332.27,1339.42,1320.69,492200000,0.79
2024-10-16,1328.95,1331.57,1334.8,1325.88,366410000,-0.26
2024-10-15,1332.47,1340.1,1346.08,1330.55,533900000,-0.45
2024-10-14,1338.56,1345.48,1353.93,1338.13,530990000,-0.45
2024-10-11,1344.63,1344.39,1346.63,1338.62,348420000,0.13
2024-10-10,1342.91,1341.31,1354.1,1341.31,520289999,0.37
2024-10-09,1337.92,1328.1,1338.28,1327.01,500870000,0.91
2024-10-08,1325.88,1323.72,1331.19,1319.07,507570000,0.32
2024-10-07,1321.63,1326.88,1330.2,1314.62,361670000,0.1
2024-10-04,1320.26,1329.56,1330.49,1320.26,445130000,-0.63
2024-10-03,1328.69,1340.35,1352.94,1327.28,801490000,-0.76
2024-10-02,1338.8,1340.38,1346.58,1336.31,522900000,-0.46
2024-10-01,1344.98,1342.87,1355.61,1342.87,708080000,0.37
2024-09-30,1340.04,1339.44,1342.15,1333.4,548510000,0.04
2024-09-27,1339.45,1342.68,1347.7,1334.0,706940000,0.1
2024-09-26,1338.15,1334.67,1345.63,1332.6,717090000,0.47
2024-09-25,1331.9,1325.44,1331.9,1322.57,725510000,1.01
2024-09-24,1318.53,1308.2,1318.53,1306.52,373320000,0.75
2024-09-23,1308.65,1316.19,1319.27,1307.59,336240000,-0.35
2024-09-20,1313.3,1314.73,1322.87,1313.3,674990000,0.47
2024-09-19,1307.15,1304.38,1307.65,1300.97,360980000,0.54
2024-09-18,1300.16,1295.77,1306.41,1292.94,444450000,0.49
2024-09-17,1293.78,1273.53,1293.78,1272.51,339080000,1.68
2024-09-16,1272.45,1284.5,1290.2,1272.45,-1,-1.01
2024-09-13,1285.49,1287.49,1288.27,1282.8,281380000,-0.1
2024-09-12,1286.78,1290.14,1292.49,1285.75,285800000,0.19
2024-09-11,1284.29,1283.97,1288.88,1276.24,394190000,-0.13
2024-09-10,1285.92,1301.11,1303.16,1282.47,447550000,-0.96
2024-09-09,1298.41,1300.6,1301.02,1293.76,331270000,-0.52
2024-09-06,1305.19,1299.78,1305.41,1293.9,384220000,0.37
2024-09-05,1300.33,1310.59,1314.47,1296.35,442350000,-0.71
2024-09-04,1309.65,1310.4,1312.42,1302.8,445140000,-0.9
2024-08-30,1321.49,1318.8,1322.89,1318.21,386910000,0.33
2024-08-29,1317.19,1316.67,1323.59,1315.84,448510000,0.04
2024-08-28,1316.71,1318.96,1320.39,1311.3,524530000,0.09
2024-08-27,1315.47,1313.27,1318.73,1309.37,449920000,0.08
2024-08-26,1314.46,1321.44,1325.08,1312.56,534299999,-0.34
2024-08-23,1318.92,1317.96,1321.13,1308.24,471450000,0.15
2024-08-22,1316.99,1319.34,1320.13,1313.55,448910000,0.02
2024-08-21,1316.71,1304.47,1316.71,1301.0,550610000,0.82
2024-08-20,1306.01,1299.15,1309.82,1297.25,575140000,0.68
2024-08-19,1297.19,1293.8,1299.63,1291.76,446650000,0.77
2024-08-16,1287.32,1256.51,1287.32,1256.51,693040000,2.63
2024-08-15,1254.39,1259.21,1261.23,1250.52,314970000,-0.41
2024-08-14,1259.57,1265.55,1266.04,1257.38,317960000,-0.07
2024-08-13,1260.49,1262.31,1265.02,1253.92,348450000,-0.23
2024-08-12,1263.44,1256.74,1263.88,1251.39,356490000,0.68
2024-08-09,1254.85,1241.84,1255.51,1238.83,402200000,1.71
2024-08-08,1233.75,1237.11,1246.46,1227.83,478590000,-0.76
2024-08-07,1243.16,1246.54,1246.54,1232.79,374170000,0.19
2024-08-06,1240.81,1228.49,1243.5,1216.03,437340,2.0
2024-08-05,1216.52,1251.12,1254.35,1211.96,710610,-4.2
2024-08-02,1269.83,1255.53,1269.83,1240.59,475210,0.81
2024-08-01,1259.57,1288.99,1293.32,1253.52,599690,-2.28
2024-07-31,1288.99,1284.23,1292.36,1282.17,467840,0.53
2024-07-30,1282.2,1284.14,1285.49,1273.46,377040,-0.15
2024-07-29,1284.12,1285.36,1289.93,1282.22,303700,0.31
2024-07-26,1280.12,1273.23,1280.12,1269.89,291660,0.69
2024-07-25,1271.39,1270.49,1274.62,1263.79,294790,-0.6
2024-07-24,1279.08,1268.07,1282.78,1255.95,476140,0.45
2024-07-23,1273.34,1298.02,1301.95,1271.7,486930,-1.72
2024-07-22,1295.61,1300.31,1305.86,1283.34,582170,-0.64
2024-07-19,1303.92,1310.27,1317.11,1298.53,564300,-0.48
2024-07-18,1310.27,1307.09,1310.27,1290.95,460280,0.3
2024-07-17,1306.32,1318.94,1327.0,1290.67,842750,-0.54
2024-07-16,1313.44,1311.24,1321.93,1309.8,426830,0.2
2024-07-15,1310.82,1314.12,1319.42,1306.4,315870,-0.24
2024-07-12,1313.96,1317.56,1323.81,1309.69,373840,-0.35
2024-07-11,1318.61,1326.09,1329.82,1318.61,458650,-0.22
2024-07-10,1321.46,1332.93,1334.65,1321.46,466570,-0.77
2024-07-09,1331.68,1324.07,1331.68,1319.48,541440,0.62
2024-07-08,1323.54,1326.06,1327.17,1317.56,473820,0.01
2024-07-05,1323.39,1319.42,1323.65,1314.76,402930,0.39
2024-07-04,1318.22,1316.09,1319.94,1310.39,342710,0.42
2024-07-03,1312.67,1303.96,1315.37,1303.96,358760,0.68
2024-07-02,1303.85,1293.87,1306.79,1291.84,345820,1.09
2024-07-01,1289.78,1282.9,1289.78,1275.79,299720,0.51
2024-06-28,1283.25,1296.92,1297.73,1275.8,465880,-1.01
2024-06-27,1296.31,1296.3,1297.51,1288.58,328310,-0.16
2024-06-26,1298.43,1297.32,1300.52,1282.75,412360,0.21
2024-06-25,1295.68,1294.04,1298.24,1288.03,384490,0.16
2024-06-24,1293.56,1323.35,1326.52,1290.08,777510,-2.37
2024-06-21,1324.91,1327.59,1329.15,1320.93,503200,-0.02
2024-06-20,1325.15,1322.46,1328.81,1314.97,602780,0.37
2024-06-19,1320.28,1321.42,1325.09,1308.58,570040,0.17
2024-06-18,1318.0,1321.12,1326.5,1316.92,457670,0.14
2024-06-17,1316.14,1323.2,1324.43,1311.44,571570,-0.42
2024-06-14,1321.73,1344.7,1346.5,1321.73,727420,-1.51
2024-06-13,1341.97,1339.43,1345.85,1336.85,633320,0.22
2024-06-12,1339.02,1318.87,1339.02,1316.11,566080,1.59
2024-06-11,1318.06,1327.41,1329.25,1311.55,596080,-0.35
2024-06-10,1322.69,1324.97,1329.04,1318.19,509880,0.26
2024-06-07,1319.2,1315.1,1325.36,1313.53,387330,0.4
2024-06-06,1313.94,1317.55,1321.25,1307.84,554530,0.08
2024-06-05,1312.87,1316.5,1325.67,1312.87,570870,-0.2
2024-06-04,1315.51,1320.57,1322.36,1313.54,561710,0.13
2024-06-03,1313.74,1302.98,1316.65,1302.49,664240,1.61
2024-05-31,1292.9,1296.75,1300.01,1290.99,398920,-0.14
2024-05-30,1294.72,1293.24,1295.93,1276.79,657360,-0.31
2024-05-29,1298.75,1312.14,1313.12,1297.42,670110,-0.8
2024-05-28,1309.27,1298.89,1309.27,1295.55,527850,1.32
2024-05-27,1292.17,1291.03,1293.28,1281.12,435760,0.27
2024-05-24,1288.74,1312.24,1316.33,1275.72,911620,-1.83
2024-05-23,1312.8,1298.38,1312.8,1290.85,595830,1.02
2024-05-22,1299.49,1313.4,1316.74,1295.64,708070,-0.96
2024-05-21,1312.13,1312.99,1315.4,1300.35,580040,-0.11
2024-05-20,1313.54,1320.23,1323.78,1313.54,707020,0.2
2024-05-17,1310.87,1305.96,1310.87,1301.68,621200,0.53
2024-05-16,1303.92,1296.96,1306.43,1293.03,609550,1.41
2024-05-15,1285.73,1278.42,1290.05,1277.54,513659,1.04
2024-05-14,1272.48,1275.78,1281.4,1269.78,357080,0.33
2024-05-13,1268.3,1276.08,1276.86,1261.38,410870,-0.34
2024-05-10,1272.61,1278.46,1278.94,1263.03,409720,-0.15
2024-05-09,1274.49,1281.95,1284.9,1269.56,444250,-0.3
2024-05-08,1278.35,1270.62,1278.35,1262.59,563550,0.11
2024-05-07,1276.92,1272.71,1277.78,1265.65,409500,0.71
2024-05-06,1267.86,1254.21,1267.86,1249.13,487690,1.66
2024-05-03,1247.16,1243.26,1252.17,1242.45,415570,0.53
2024-05-02,1240.61,1237.46,1241.27,1231.34,373670,0.52
2024-04-26,1234.22,1221.07,1239.35,1219.25,400430,0.46
2024-04-25,1228.52,1230.77,1231.77,1220.91,348880,-0.03
2024-04-24,1228.94,1203.9,1231.37,1202.64,491510,2.92
2024-04-23,1194.03,1204.1,1208.09,1186.19,504530,-0.74
2024-04-22,1202.92,1196.49,1208.76,1193.17,441100,1.47
2024-04-19,1185.51,1200.62,1203.76,1176.17,740050,-1.67
2024-04-17,1205.61,1227.74,1233.28,1205.52,545510,-1.78
2024-04-16,1227.5,1225.57,1230.81,1201.93,885850,0.09
2024-04-15,1226.38,1288.74,1292.78,1226.38,965390,-4.89
2024-04-12,1289.45,1268.48,1289.45,1268.48,497860,1.72
2024-04-11,1267.7,1266.41,1272.24,1257.98,445930,-0.05
2024-04-10,1268.39,1276.75,1280.14,1268.39,440110,-0.29
2024-04-09,1272.1,1258.15,1272.1,1254.25,431510,1.24
2024-04-08,1256.58,1262.02,1264.25,1252.18,531710,-0.43
2024-04-05,1262.07,1264.98,1273.0,1258.71,673820,-1.02
2024-04-04,1275.12,1282.48,1286.3,1273.15,644820,-0.55
2024-04-03,1282.23,1296.96,1301.14,1282.07,716580,-1.36
2024-04-02,1299.88,1288.63,1299.88,1279.3,763990,0.29
2024-04-01,1296.11,1296.82,1302.43,1287.98,596360,-0.32
2024-03-29,1300.31,1307.69,1308.11,1297.61,542080,-0.43
2024-03-28,1305.91,1300.03,1308.63,1299.77,633080,0.9
2024-03-27,1294.21,1293.73,1296.63,1285.51,544590,0.22
2024-03-26,1291.41,1274.3,1291.54,1269.62,615890,1.31
2024-03-25,1274.66,1289.03,1294.53,1270.63,775290,-1.13
2024-03-22,1289.21,1291.67,1298.07,1281.29,901550,0.29
2024-03-21,1285.42,1274.71,1285.42,1270.26,857620,1.58
2024-03-20,1265.41,1243.86,1267.1,1235.28,649950,1.88
2024-03-19,1242.02,1243.74,1249.14,1237.16,598610,-0.11
2024-03-18,1243.39,1265.05,1268.66,1219.48,1190000,-1.69
2024-03-15,1264.79,1266.22,1272.72,1253.09,755610,-0.22
2024-03-14,1267.6,1277.0,1282.2,1261.61,739820,-0.7
2024-03-13,1276.48,1245.66,1276.48,1245.66,627820,2.5
2024-03-12,1245.36,1237.47,1248.68,1235.34,573330,0.55
2024-03-11,1238.55,1251.93,1257.72,1235.45,667330,-1.06
2024-03-08,1251.76,1277.05,1281.43,1251.76,972230,-1.88
2024-03-07,1275.78,1268.15,1278.45,1264.37,668680,0.62
2024-03-06,1267.89,1278.77,1284.31,1260.96,674410,-0.84
2024-03-05,1278.67,1268.8,1278.67,1264.41,628310,0.86
2024-03-04,1267.79,1270.22,1273.96,1263.33,781450,0.26
2024-03-01,1264.44,1260.12,1265.66,1255.36,639410,0.5
2024-02-29,1258.09,1259.38,1266.27,1250.02,745010,0.18
2024-02-28,1255.79,1247.31,1255.79,1242.0,646270,1.06
2024-02-27,1242.56,1234.21,1242.56,1231.95,656700,1.17
2024-02-26,1228.15,1216.09,1228.89,1212.6,590910,1.06
2024-02-23,1215.23,1235.83,1247.21,1215.23,988550,-1.57
2024-02-22,1234.58,1237.19,1238.55,1232.24,531790,-0.2
2024-02-21,1237.03,1236.09,1242.09,1229.09,648910,0.11
2024-02-20,1235.71,1236.52,1238.17,1230.37,594590,0.12
2024-02-19,1234.18,1225.99,1234.18,1222.0,727520,0.94
2024-02-16,1222.64,1221.39,1223.42,1217.41,557790,0.43
2024-02-15,1217.39,1212.74,1224.67,1212.74,645970,0.51
2024-02-07,1211.21,1202.08,1212.66,1201.87,484340,0.96
2024-02-06,1199.68,1199.06,1202.82,1197.61,386170,0.23
2024-02-05,1196.9,1181.54,1199.55,1181.31,559910,1.48
2024-02-02,1179.49,1179.49,1184.67,1177.88,544500,0.09
2024-02-01,1178.45,1170.08,1180.48,1169.82,386220,0.64
2024-01-31,1170.92,1188.02,1189.15,1168.87,754390,-1.24
2024-01-30,1185.64,1180.86,1186.03,1180.27,383180,0.42
2024-01-29,1180.69,1185.06,1186.32,1179.73,383090,-0.19
2024-01-26,1182.99,1180.44,1184.65,1180.44,351290,0.44
2024-01-25,1177.84,1180.19,1180.19,1174.24,326340,-0.08
2024-01-24,1178.74,1181.71,1187.12,1177.97,444200,-0.35
2024-01-23,1182.85,1189.8,1190.98,1180.37,422950,-0.38
2024-01-22,1187.37,1187.68,1190.55,1179.82,543290,0.31
2024-01-19,1183.75,1179.05,1185.56,1178.68,458600,0.7
2024-01-18,1175.49,1170.54,1176.69,1168.81,412830,0.62
2024-01-17,1168.28,1170.12,1177.61,1167.68,510050,-0.14
2024-01-16,1169.95,1155.87,1169.95,1153.06,416170,0.97
2024-01-15,1158.72,1168.08,1172.31,1158.72,404230,-0.4
2024-01-12,1163.43,1164.25,1168.5,1151.94,775980,-0.33
2024-01-11,1167.26,1166.66,1175.04,1161.97,587910,0.24
2024-01-10,1164.42,1165.19,1171.55,1159.98,690350,-0.04
2024-01-09,1164.86,1168.45,1169.88,1161.26,584780,-0.25
2024-01-08,1167.79,1168.21,1173.79,1164.56,565310,0.26
2024-01-05,1164.81,1161.6,1166.47,1157.47,531950,0.33
2024-01-04,1161.03,1153.86,1172.17,1153.23,840140,0.72
2024-01-03,1152.77,1140.07,1152.77,1136.27,426120,1.1
2024-01-02,1140.25,1147.93,1150.44,1138.4,567080,-0.12
2023-12-29,1141.65,1140.13,1144.2,1139.16,427860,0.31
2023-12-28,1138.09,1129.37,1139.5,1127.34,438320,0.84
2023-12-27,1128.61,1130.29,1133.62,1128.61,398700,0.03
2023-12-26,1128.29,1125.04,1130.0,1123.76,414000,0.37
2023-12-25,1124.15,1112.14,1125.73,1111.92,384540,1.31
2023-12-22,1109.59,1109.6,1112.78,1106.47,361800,-0.01
